AI CYBERATTACK,DATE ARTICLE,DESCRIPTION (ABSTRACT),KEYWORDS (5 ),SECTOR,SOURCE  URL,THREAT ACTOR,TITLE,TYPE OF INCIDENT
No,23/11/2024,"Two malicious packagesgptplusâ€ and claudeai-engâ€were uploaded to PyPI in 2023 under the pseudonym Xeroline,â€ pretending to provide API access to ChatGPT and Claude. Instead, they deployed JarkaStealer, a Java-based infostealer sold on the Russian Dark Web for around $20. Capable of collecting browser data, screenshots, and session tokens from apps like Telegram, Discord, and Steam, the malware was installed when developers imported the packages. The packages were downloaded more than 1,700 times across over 30 countries before being removed. Security experts warn this incident highlights risks in software supply chains and urge rigorous verification of third-party packages.","JarkaStealer, PyPI, supply chain attack, gptplus, claudeai-eng","Information, Communication And Digital",https://www.darkreading.com/application-security/faux-chatgpt-claude-api-packages-jarkastealer,JarkaStealer,"Faux ChatGPT, Claude API Packages Deliver JarkaStealer",Infostealer
No,23/6/2023,"The U.S. Cybersecurity and Infrastructure Security Agency (CISA) issued advisory urging agencies to patch a fourth vulnerabilityCVE-2023-41990used in the Operation Triangulation campaign, which has been active since 2019. This added flaw completes the chain of zero-day vulnerabilities used by threat actors to bypass iPhone security. Other flaws like CVE-2023-38203 and CVE-2023-29300 were also leveraged despite existing patches. The action underscores the ongoing risk to federal systems from these stealthy exploits. Agencies were urged to apply fixes promptly.",CISA; CVE-2023-41990; zero-day chain; patching; iOS security,Government,https://www.bleepingcomputer.com/news/security/cisa-warns-agencies-of-fourth-flaw-used-in-triangulation-spyware-attacks/?utm_source=chatgpt.com,Triangulation,CISA warns agencies of fourth flaw used in Triangulation spyware attacks,Others
No,23/7/2020,"The article reports that more than 1,000 unsecured databases have been permanently deleted in an ongoing Meowâ€ attack. The attacker leaves meowâ€ as the calling card and provides no ransom note or explanation. It highlights the destructive nature of the campaign against exposed data stores on the public internet. The piece underscores the mystery around the perpetrator and motive. Administrators with internet-facing databases are implicitly urged to secure them to avoid being meowed.â€","Meow, mystery attack, database deletion, unsecured systems, data destruction",Others,https://arstechnica.com/information-technology/2020/07/more-than-1000-databases-have-been-nuked-by-mystery-meow-attack/,MEOW,"More than 1,000 databases have been nuked by mystery Meow attack",Others
No,23/7/2024,A new MacMa malware version was deployed by Evasive Panda. The malware specifically targeted macOS users. It spreads through trojanized apps and software updates. Researchers noted its stealth and persistence. Mac users face growing risks from sophisticated APTs.,Evasive Panda;MacMa;macOS;APT;Malware,Others,https://www.bleepingcomputer.com/news/security/evasive-panda-hackers-deploy-new-macma-macos-backdoor-version/,Bronze Highland,Evasive Panda Hackers Deploy New Macma Macos Backdoor Version,Others
No,24/1/2025,"Microsoft revealed its weather-themed naming taxonomy for nation-state threat actors, including Iranâ€™s group dubbed Mint Sandstorm, as part of a broader restructuring to improve clarity in intelligence reporting. The taxonomy names Iran-linked hackers with storm-themed titles such as Mint Sandstorm, Sefid Flood, Salt Typhoon, and others across multiple countries. This system replaced earlier naming methods based on periodic table elements to better manage large numbers of active threat groups. The naming helps analysts and organizations quickly recognize the origin or motivations behind threats. The article emphasises the importance of structured naming to enhance responsiveness and threat prioritization.","Naming taxonomy, Mint Sandstorm, threat tracking, weather-themed, Microsoft","Information, Communication And Digital",https://www.thenationalnews.com/future/technology/2025/01/24/mint-sandstorm-hackers-iran-cybercrime/,Mint Sandstorm,Iran Mint Sandstorm: how hackers and cyber criminals are nicknamed,Others
No,24/10/2017,"The Bad Rabbit ransomware swept through Eastern Europe, particularly Russia and Ukraine, by masquerading as a fake Adobe Flash update on compromised websites. When users clicked the bogus installer, it dropped components using DiskCryptor to encrypt files and modify the systemâ€™s master boot record. It then created scheduled tasks named after Game of Thrones dragons (Rhaegal,â€ Drogon,â€ Viserionâ€) to re-launch and trigger the encryption payload. The malware spread laterally through SMB using stolen or hardcoded credentials. Prominent targets included news media sites, the Odessa airport, and Kyivâ€™s metro system.",Bad Rabbit; ransomware; fake Flash update; DiskCryptor; SMB propagation,"Information, Communication And Digital",https://www.bleepingcomputer.com/news/security/bad-rabbit-ransomware-outbreak-hits-eastern-europe/,BadRabbit,Bad Rabbit Ransomware Outbreak Hits Eastern Europe,Ransomware
No,24/10/2024,"The new Rust-based Qilin.B ransomware variant features enhanced encryption, improved evasion from security tools, and the ability to disrupt data recovery, targeting both local and network directories and impacting major organizations worldwide.","Qilin,Ransomware,Encryption,Evasion,Windows",Healthcare Services,https://www.bleepingcomputer.com/news/security/new-qilin-ransomware-encryptor-features-stronger-encryption-evasion/,Qilin,"New Qilin ransomware encryptor features stronger encryption, evasion",Ransomware
No,24/11/2016,"Cerber ransomware developers released version 5.0 of the malware, featuring incremental changes from previous builds. The update includes modified encryption processes and slight improvements to obfuscation techniques. While not a major overhaul, the new version ensures continued effectiveness against victims. Security researchers warned that Cerber remains a significant ransomware threat due to its active development. The release reflects the sustained evolution of ransomware families to maintain relevance.","Cerber ransomware, version 5.0, encryption, malware update, ransomware evolution",Others,https://www.bleepingcomputer.com/news/security/cerber-ransomware-5-0-released-with-a-few-changes/,Cerber,Cerber Ransomware 5.0 released with a few changes,Ransomware
No,24/4/2025,"A sophisticated phishing campaign has been identified, distributing the FormBook infostealer malware via weaponized Word documents. The attack begins with a phishing email disguised as a sales order, prompting the recipient to open an attached Word document. Upon opening, the document exploits the CVE-2017-11882 vulnerability in Microsoft Equation Editor to execute a malicious RTF file. This RTF file, heavily obfuscated, triggers the execution of a 64-bit DLL named AdobeID.pdf, which establishes persistence and downloads the actual FormBook payload. The payload is decrypted from an encrypted PNG file and injected into a legitimate Windows process using process hollowing, allowing the malware to operate entirely in memory and evade detection by traditional antivirus tools.","Formbook, Phishing, CVE-2017-11882, Fileless malware, Process hollowing",Others,https://securityonline.info/formbook-malware-spreads-via-sophisticated-phishing-attack/,Formbook,FormBook Malware Spreads via Sophisticated Phishing Attack,Malware
No,24/6/2019,"Sodinokibi (aka REvil) began spreading through malvertising that redirects victims to the RIG exploit kit. This broadened its distribution vectors beyond spam, server exploits, and compromised MSP back-ends. Ads on the PopCash network led users to the exploit kit under certain conditions. Researchers demonstrated infection via a RIG exploit kit in an Any.run session. This shift positions Sodinokibi as a growing force in ransomware deployment strategies.",Malvertising; RIG exploit kit; PopCash; distribution; exploit kits,"Information, Communication And Digital",https://www.bleepingcomputer.com/news/security/sodinokibi-ransomware-now-pushed-by-exploit-kits-and-malvertising/,Sodinokibi,Sodinokibi Ransomware Now Pushed by Exploit Kits and Malvertising,Ransomware
No,24/6/2024,"A newly identified operation by SneakyChef uses SugarGh0st RAT embedded in SFX RAR files as initial infection vectors. Victimsprimarily embassies and foreign ministries in EMEA and Asiaare targeted with decoys like conference documents delivered via phishing. The SFX drops a decoy document, obfuscated DLL loader, encrypted SugarGh0st RAT, and a VBScript establishing persistence via the UserInitMprLogonScript registry key. On execution, the VBScript loads and injects the encrypted RAT into a process, allowing stealthy surveillance. Cisco Talos attributes the campaign to a Chinese-speaking actor, noting continued use of known C2 domains.",SneakyChef; SugarGh0st RAT; SFX RAR; VBScript loader; diplomatic espionage,Government,https://gbhackers.com/new-rat-malware-sneakychef-sugarghost-attack-windows-systems/?utm_source=chatgpt.com,SugarGhOst,New RAT Malware SneakyChef & SugarGhost Attack Windows Systems,Others
No,24/7/2024,China-linked APT Evasive Panda spied on Taiwan using cross-platform malware. They deployed MacMa malware and other tools. Targets included governmental and strategic sectors. The campaign shows Chinapersistent espionage efforts. Such operations highlight geopolitical cyber tensions.,Evasive Panda;Taiwan;APT;Espionage;Malware,Others,https://www.darkreading.com/threat-intelligence/china-evasive-panda-apt-spies-taiwan-targets-across-platforms,Evasive Panda,China Evasive Panda Apt Spies Taiwan Targets Across Platforms,APT
No,25/10/2017,"Multiple leading security firms including Bitdefender, Cisco Talos, ESET, Group-IB, Intezer Labs, Kaspersky, and Malwarebytes found strong code similarities between Bad Rabbit and NotPetya, linking them to the same Petya-based lineage. The timeline and infrastructure sophistication suggest the involvement of the TeleBots APT also known as Sandworm or BlackEnergy long active in Ukrainian cyber operations. TeleBots had previously targeted Ukrainian power infrastructure before NotPetya emerged in June. In Bad Rabbit, most infections occurred in Russia (~70%), but high-value targets in Ukraine such as airports, metro systems, and government agencies were also severely impacted. The group likely spent several months preparing the infrastructure, compromising websites in advance to deliver fake Flash updates that initiated the ransomware. Some security experts now theorize that Bad Rabbit was used as a distraction or decoy to mask deeper espionage or sabotage activities, with ransomware serving as a cover story",Bad Rabbit; NotPetya; Petya lineage; TeleBots APT; infrastructure targeting,"Information, Communication And Digital",https://www.bleepingcomputer.com/news/security/security-firms-say-bad-rabbit-attack-carried-out-by-notpetya-group/,BadRabbit,Security Firms Say Bad Rabbit Attack Carried Out by NotPetya Group,Ransomware
No,25/2/2025,"A Dragos report shows state-backed cyber operators are increasingly sharing their most dangerous tools with hacktivists, who often disregard the norms of digital warfare. This shift widens the pool of capable adversaries, enabling more frequent and destructive attacks. Sectors like utilities, rail transport, power grids, and food manufacturing are alarmed by their unpreparedness due to limited staffing and budget. Dragos highlights the emergence of new malware strains and evolving threat groups targeting operational technology. The report underscores critical infrastructure's urgent need to bolster cyber defenses and detection capabilities",state-backed hackers; hacktivist collaboration; critical infrastructure; malware proliferation; politically motivated cyber threats,"Information, Communication And Digital",https://www.axios.com/2025/02/25/state-linked-hackers-share-their-most-dangerous-tools-codebook,Bauxite,State-linked hackers share their most dangerous tools,Others
No,25/2/2025,"The 2025 Dragos OT/ICS Cybersecurity Report found nine threat groups active in industrial control system (OT) operations during 2024. Two newly tracked groups Bauxite (linked to IRGC via the CyberAv3ngers persona) and Graphite (Russia-linked APT28) targeted sectors including energy, water, food and beverage, chemical manufacturing, and defense. Bauxite deployed IOCONTROL malware against IoT and OT devices across the US and Israel. Four groups (Bauxite, Chernovite, Voltzite, Electrum/Sandworm) are now capable of full ICS Cyber Kill Chain Stage 2 attacks, meaning they can develop and test OT-specific attacks. Reportedly, ransomware attacks on industrial targets surged 87% in 2024, with 80 ransomware groups now affecting OT/ICS environments60% more than in 2023",Bauxite; Graphite; ICS OT threats; IOCONTROL; ransomware surge,Energy,https://www.securityweek.com/nine-threat-groups-active-in-ot-operations-in-2024-dragos/,Bauxite,Nine Threat Groups Active in OT Operations in 2024: Dragos,Others
No,25/3/2021,"Evil Corpa cybercriminal group sanctioned by the U.S. Treasury in 2019is using Hades ransomware to circumvent those sanctions. Hades, which shares significant code overlap with their earlier WastedLocker strain, adds code obfuscation and minor feature tweaks to evade detection. Unlike prior campaigns, Hades avoids email communication and data exfiltration, presenting victims with Tor-based notes and contact channels through Tox messenger. This shift in tactics helps Evil Corp disassociate from earlier ransomware families and complicates attribution efforts. CrowdStrike links Hades to Evil Corp based on shared code and ransomware behavior patterns, confirming its role as the groupâ€™s rebranded monetization method.","Evil Corp, Hades ransomware, WastedLocker successor, Sanctions evasion, Code obfuscation","Information, Communication And Digital",https://www.bleepingcomputer.com/news/security/evil-corp-switches-to-hades-ransomware-to-evade-sanctions/,Evil Corp,Evil Corp switches to Hades ransomware to evade sanctions,Ransomware
No,25/3/2025,Cybersecurity researchers have identified an Android malware campaign using Microsoftâ€™s .NET Multi-platform App UI (.NET MAUI) framework to create fake banking and social media apps. These malicious apps specifically target Indian and Chinese-speaking users. The use of .NET MAUI enables cross-platform development that blends in with legitimate applications. The campaign facilitates credential theft under the guise of trusted app frameworks. The deceptive approach underscores how modern development tools can be weaponized in mobile threats.,".NET MAUI, Android malware, fake banking apps, social apps, credential theft",Others,https://thehackernews.com/2025/03/hackers-use-net-maui-to-target-indian.html,Maui,"Hackers use .NET MAUI to target Indian and Chinese users with fake banking, social apps",Malware
No,25/4/2022,"Quantum ransomware was observed executing rapid attacks using IcedID and Cobalt Strike for initial access and lateral movement, encrypting devices within four hours and employing double-extortion tactics.","Quantum,Ransomware,IcedID,Cobalt Strike,Encryption",Others,https://www.bleepingcomputer.com/news/security/quantum-ransomware-seen-deployed-in-rapid-network-attacks/,Quantum,Quantum ransomware seen deployed in rapid network attacks,Ransomware
No,25/4/2024,"Security researchers at Sekoia sinkholed a PlugX malware command-and-control server, capturing over 2.5 million unique IP connections from infected hosts across 170 countries, revealing widespread infections and offering strategies for disinfection.","PlugX, Sinkhole, Malware, USB, Worm","Information, Communication And Digital",https://www.bleepingcomputer.com/news/security/researchers-sinkhole-plugx-malware-server-with-25-million-unique-ips/,PlugX,Researchers sinkhole PlugX malware server with 2.5 million unique IPs,Malware
No,25/6/2020,"Maze ransomware operators claimed to have breached LG Electronics' network and stolen data, including 40 GB of source code related to Python projects, via a press releaseâ€ on their data leak site. The attackers threatened to publish the data if LG did not contact them, but did not disclose how many devices were encrypted. They published alleged proof via screenshots, including a file listing from a Python code repository and a snippet of firmware code . Mazeâ€™s behavior is consistent with its strategy of leaking proprietary data when ransom demands go unresolved. The stolen materials include source code for LGâ€™s firmware and development projects.","LG Electronics, Maze ransomware, source code theft, Python code, data leak",Manufacturing,https://www.bleepingcomputer.com/news/security/lg-electronics-allegedly-hit-by-maze-ransomware-attack/,Maze,LG Electronics allegedly hit by Maze ransomware attack,Ransomware
No,25/7/2020,"A rapidly spreading automated Meowâ€ attack has destroyed nearly 4,000 unsecured databases accessible on the public web. It started with Elasticsearch and MongoDB instances and then included other systems like Redis, Cassandra, CouchDB, Hadoop, Jenkins, and Apache ZooKeeper . The attack leaves no ransom note or explanation, merely overwriting or deleting data completely . The destruction is indiscriminatepolicy or motive remains unknown, though speculation includes malicious vandalism or vigilante action. Administrators are strongly urged to secure internet-facing assets to avoid being meowed.â€","Meow, data wiping, unsecured databases, Elasticsearch, MongoDB",Others,https://www.bleepingcomputer.com/news/security/new-meow-attack-has-deleted-almost-4-000-unsecured-databases/,MEOW,"New â€˜Meowâ€™ attack has deleted almost 4,000 unsecured databases",Others
No,25/7/2024,Hackers breached an ISP to poison software updates. This allowed malware deployment on customer systems. The attack exemplifies supply chain exploitation. Victims unknowingly downloaded malicious updates. Supply chain security remains a major concern.,ISP;Supply Chain;Software Updates;Malware;Poisoning,"Information, Communication And Digital",https://www.techradar.com/pro/security/chinese-hackers-target-mac-users-with-new-macma-malware,Macma,Chinese Hackers Target Mac Users With New Macma Malware,Others
No,25/8/2023,"Flax Typhoon, a suspected China-based APT group, has been infiltrating Taiwanese organizationsand others internationallysince at least mid-2021 using stealthy techniques that rely on operating system tools rather than custom malware. They initiate access by exploiting vulnerabilities in public-facing systems and deploying web shells like China Chopper. Once inside, they elevate privileges using tools such as Juicy Potato or BadPotato, then disable network-level authentication and exploit Sticky Keys for persistence, allowing RDP access at the sign-in screen. For remote connectivity, they install the legitimate SoftEther VPN (masquerading it under familiar filenames like conhost.exe) in VPN-over-HTTPS mode to blend in with normal traffic. Lateral movement and credential harvesting are conducted using LOLBinsincluding PowerShell, WMIC, certutiland tools like Mimikatz to capture credentials from LSASS or the SAM hive. Their approach underscores an insidious strategy: remain almost invisible by abusing trusted system utilities and credentials alone.","Flax Typhoon APT, Living-off-the-land binaries (LOLBins), China Chopper web shell, Sticky Keys persistence, SoftEther VPN stealth",Education,https://www.bleepingcomputer.com/news/security/microsoft-stealthy-flax-typhoon-hackers-use-lolbins-to-evade-detection/,Flax Typhoon,Microsoft: Stealthy Flax Typhoon hackers use LOLBins to evade detection,Others
No,26/1/2016,"Researchers at Palo Altoâ€™s Unit 42 uncovered a four-year cyberattack campaign targeting Tibetan, Uyghur, government entities in Russia and India, and Muslim and pro-Russia critics in China. The operation was attributed to a group dubbed Scarlet Mimic, believed to be a well-funded, highly capable cyber adversary. Their primary tool was FakeM, a Windows backdoor using shellcode and mimicking legitimate messenger traffic to evade detection. Scarlet Mimic developed nine loader families and expanded beyond PCs to macOS and Android, using tools like CallMe, Psylo, and MobileOrder, all sharing infrastructure. They relied on spearphishing with decoy documents and exploited multiple vulnerabilities across Excel, ActiveX, PowerPoint, Microsoft Office, and Adobe Reader to exfiltrate data",Scarlet Mimic; FakeM backdoor; espionage; spearphishing; cross-platform tools,"Information, Communication And Digital",https://www.darkreading.com/threat-intelligence/-scarlet-mimic-hackers-snoop-on-minority-activists-in-china,Scarlet Mimic,Scarlet Mimic' Hackers Snoop On Minority Activists In China,Others
No,26/2/2020,Cloud provider Bretagne TÃ©lÃ©com was breached by DoppelPaymer using the Citrix ADCRCE flaw CVE-2019-19781 before patches were released.,"DoppelPaymer, Citrix ADC, CVE-2019-19781, backup restoration, data leak","Information, Communication And Digital",https://www.bleepingcomputer.com/news/security/doppelpaymer-hacked-bretagne-t-l-com-using-the-citrix-adc-flaw/,DoppelPaymer,DoppelPaymer Hacked Bretagne TÃ©lÃ©com Using the Citrix ADC Flaw,Ransomware
No,26/2/2024,"The Rhysida ransomware gang attacked Lurie Children's Hospital in Chicago and forced its IT systems offline, disrupting email, phone, MyChart, imaging, and prescribing systems. They exfiltrated approximately 600â€¯GB of sensitive patient datamostly children's medical recordsand listed it for sale on their dark web portal, demanding about 60â€¯BTC (~$3.7â€¯million). A sevenâ€‘day deadline was given, after which the data would be sold to multiple buyers or leaked for free. Restoration was still in progress as of 22â€¯Februaryâ€¯2024, with many systems still offline and manual processes (like handwritten prescriptions) in use; the hospital extended billing timelines and waived noâ€‘show fees. A flaw in Rhysidaâ€™s encryption tool discovered by Korean researchers may allow decryption without paying ransom, but its effectiveness in this case remains uncertain.","Rhysida, Lurie Childrenâ€™s Hospital, Ransomware, Pediatric healthcare, Data exfiltration",Healthcare Services,https://www.bleepingcomputer.com/news/security/rhysida-ransomware-wants-36-million-for-childrens-stolen-data/,Rhysida,Rhysida ransomware wants $3.6 million for childrenâ€™s stolen data,Ransomware
No,26/3/2020,"Despite the strain on hospitals during the COVID-19 pandemic, Ryuk ransomware continued its attacks. BleepingComputer asked several ransomware groups if they would cease targeting healthcare; Maze and DoppelPaymer said they would, but Ryuk did not respond. SentinelOneâ€™s Vitali Kremez confirmed at least ten healthcare organizations were targeted. One of the hospitals attacked was located in a state severely affected by COVID-19. Encrypting hospital data during a global health crisis can literally impact patientsâ€™ survival.",Ryuk; hospitals; COVID-19 pandemic; ransomware; healthcare targeting,Healthcare Services,https://www.bleepingcomputer.com/news/security/ryuk-ransomware-keeps-targeting-hospitals-during-the-pandemic/,Ryuk,Ryuk Ransomware Keeps Targeting Hospitals During the Pandemic,Ransomware
No,26/3/2024,"The March 26, 2024 edition of the Tuesday Morning Threat Report summarizes recent global cyber incidents. It highlights ransomware campaigns, phishing attacks, and critical vulnerabilities under active exploitation. Threat actors continue targeting government agencies, corporations, and individual users across multiple regions. The report also emphasizes the importance of patching, email security, and user awareness to counter these evolving threats. This daily roundup provides a snapshot of the dynamic cyber threat landscape.","ransomware, phishing, data breach, vulnerabilities, cyber threats",Others,https://medium.com/@cyber_securiti/tuesday-morning-threat-report-mar-26-2024-7ca917aeb23d,DarkGPT,"Tuesday Morning Threat Report â€“ Mar 26, 2024",Others
No,26/3/2024,"The TA450 group (aka MuddyWater artifacts) evolved its phishing tactics by embedding malicious links in PDF attachments instead of only email bodies. From March 7â€“11, 2024, Proofpoint traced these PDFs sent to employees in manufacturing, technology, and infosec firms, especially in Israel. These PDFs mislead users with pay-related scams and leverage Onehub, Egnyte, and Sync domains to deliver malicious ZIP archives. Once opened, recipients are directed to download remote administration tools for potential espionage or data theft. This marks the first observed usage of PDF-based malicious links by TA450, showing notable sophistication in evasion and delivery.","TA450, PDF phishing, embedded links, remote access, Onehub","Information, Communication And Digital",https://cybersecuritynews.com/embedded-links-in-pdf-attachments/,MuddyWater,TA450 Hackers Uses Embedded Links in PDF Attachments to Attack Windows,Phishing
No,26/3/2025,"The Chinese threat actor known as FamousSparrow conducted cyber attacks targeting a trade group in the U.S. and a research institute in Mexico by deploying its SparrowDoor and, for the first time, ShadowPad backdoors. According to ESET, two previously undocumented versions of SparrowDoor were usedone of which is modularand both support command parallelization. FamousSparrow was first documented in September 2021 for targeting hotels, governments, engineering firms, and law firms. The group shows tactical overlaps with clusters tracked as Earth Estries, GhostEmperor, and Salt Typhoon, though ESET still treats it as a distinct group. The attackers used a web shell on an IIS server, exploiting systems running outdated Windows Server and Exchange.",FamousSparrow; SparrowDoor; ShadowPad; modular backdoor; parallel command execution,"Trade, Industry And Economy",https://thehackernews.com/2025/03/new-sparrowdoor-backdoor-variants-found.html,Shadowpad,New SparrowDoor Backdoor Variants Found in Attacks on U.S. and Mexican Organizations,Malware
No,26/4/2022,"Coca-Cola announced it is investigating after the Stormous gang claimed to have breached its servers and stolen 161 GB of data, which they offered for sale on their leak site for 1.65 Bitcoin. The cache reportedly includes compressed documents, admin emails, account and payment archives, and passwords. Stormous is described more as a data-extortion group rather than a ransomware actor, with no signs of file-encrypting malware detected. They previously polled followers to choose their next victim, revealing an anti-Western motive aligned with actions against Russia. Coca-Cola continues cooperating with law enforcement, and so far, no adverse impact has been confirmed.",Stormous; data extortion; breach claim; 1.65 Bitcoin; leak site,Others,https://www.bleepingcomputer.com/news/security/coca-cola-investigates-hackers-claims-of-breach-and-data-theft/?utm_source=chatgpt.com,Storms,Coca-Cola investigates hackersâ€™ claims of breach and data theft,Data Breached
No,26/4/2025,"DragonForce is transforming from a traditional RaaS gang into a ransomware cartel,â€ offering affiliates access to its infrastructure under a white-label affiliate branding model.","DragonForce, RaaS white-label, ransomware cartel, affiliate model, moral code","Information, Communication And Digital",https://www.bleepingcomputer.com/news/security/dragonforce-expands-ransomware-model-with-white-label-branding-scheme/,DragonForce,DragonForce expands ransomware model with white-label branding scheme,Ransomware
No,26/6/2019,"YouTube scams promote software that pretends to get users free Bitcoins, but instead installs the njRAT remote access trojan and password stealer.","njRAT, Bitcoin, InfoStealer, YouTube, Scam",Others,https://www.bleepingcomputer.com/news/security/youtube-bitcoin-scams-pushing-the-njrat-backdoor-infostealer/,NJRat,YouTube Bitcoin Scams Pushing the njRAT Backdoor InfoStealer,Others
No,26/6/2020,"At least 31 organizations, including 30 U.S.-based firms and eight Fortune 500 companies, were targeted in an Evil Corp ransomware campaign intended to deploy WastedLocker across their networks. The incursion began when employees visited compromised websites infected with SocGholish, which delivered fake software update alerts to initiate the malware chain. Once inside, attackers used Cobalt Strike and legitimate tools like PowerShell and PsExec to disable security defenses, move laterally, and execute WastedLocker. Fortunately, Symantec intervened and blocked the ransomware deployment before encryption could begin. The exposed sectors ranged from manufacturing to IT and telecom, underscoring the broad reach and risk faced by corporate infrastructure.","WastedLocker ransomware, SocGholish drive-by compromise, Cobalt Strike lateral movement, Fortune 500 targets, Pre-deployment ransomware disruption",Others,https://www.bleepingcomputer.com/news/security/evil-corp-blocked-from-deploying-ransomware-on-30-major-us-firms/,Evil Corp,Evil Corp blocked from deploying ransomware on 30 major US firms,Ransomware
No,26/7/2024,"A sophisticated phishing campaign has been identified, distributing the FormBook infostealer malware via weaponized Word documents. The attack begins with a phishing email disguised as a sales order, prompting the recipient to open an attached Word document. Upon opening, the document exploits the CVE-2017-11882 vulnerability in Microsoft Equation Editor to execute a malicious RTF file. This RTF file, heavily obfuscated, triggers the execution of a 64-bit DLL named AdobeID.pdf, which establishes persistence and downloads the actual FormBook payload. The payload is decrypted from an encrypted PNG file and injected into a legitimate Windows process using process hollowing, allowing the malware to operate entirely in memory and evade detection by traditional antivirus tools.","Formbook, Phishing, CVE-2017-11882, Fileless malware, Process hollowing",Banking And Finance,https://securityonline.info/malicious-emails-bypass-secure-email-gateways-delivering-formbook-malware/,Formbook,"Malicious Emails Bypass Secure Email Gateways, Delivering FormBook Malware",Malware
No,27/1/2022,"Despite the arrest of several alleged REvil affiliates by Russian authorities, the ransomware-as-a-service operation remained active, according to ReversingLabs. The number of new daily REvil implants even increased from 24 to 26 after the arrests. Europol had previously arrested individuals tied to REvil and GandCrab, yet implant counts persisted. Threat researchers concluded it was essentially business as usualâ€ for the group. The findings highlight the resilience of distributed criminal RaaS structures.",REvil; Sodinokibi; RaaS; ReversingLabs; implants,"Information, Communication And Digital",https://www.securityweek.com/revil-ransomware-operations-apparently-unaffected-recent-arrests/,Sodinokibi,REvil Ransomware Operations Apparently Unaffected by Recent Arrests,Ransomware
No,27/10/2020,"The Enel Group, one of Europeâ€™s largest energy companies, suffered a Netwalker ransomware attack, resulting in a $14 million ransom demand. Screenshots of stolen unencrypted files appeared on the group's leak site as proof of theft. Attackers threatened to make public data if the ransom wasnâ€™t paid, doubling down pressure on Enel. Previously, in June, Enel thwarted a Snake (EKANS) ransomware attempt before any spread occurred. The leak site included a message saying, Hello Enel. Donâ€™t be afraid to write us,â€ signaling serious intent.","Netwalker, Enel, energy sector, $14M ransom, data leak",Energy,https://www.bleepingcomputer.com/news/security/enel-group-hit-by-ransomware-again-netwalker-demands-14-million/,NetWalker,"Enel Group Hit by Ransomware Again, Netwalker Demands $14 Million",Ransomware
No,27/10/2024,"In October 2024, the 'Fog' ransomware operation emerged as a significant threat to corporate networks, exploiting a critical access control vulnerability in SonicWall SSL VPNs (CVE-2024-40766). This flaw allows unauthorized remote access to internal systems, enabling attackers to deploy ransomware that encrypts data and exfiltrates sensitive information. The attackers demand a ransom for decryption and non-disclosure of the stolen data. The operation has been linked to at least 30 intrusions, with a rapid timeline from intrusion to encryption, sometimes within 1.5 to 2 hours. Organizations are advised to patch affected systems promptly and implement multi-factor authentication to mitigate the risk.","Fog ransomware, SonicWall VPN, CVE-2024-40766, Ransomware attack, Corporate cybersecurity",Others,https://www.bleepingcomputer.com/news/security/fog-ransomware-targets-sonicwall-vpns-to-breach-corporate-networks/,Fog,Fog ransomware targets SonicWall VPNs to breach corporate networks,Ransomware
No,27/12/2023,"Kaspersky researchers uncovered that since 2019, attackers have exploited undocumented Apple chip features to bypass hardware security in iPhones. These featureslikely intended for debugging or factory testingwere used to facilitate a chain of four zero-days in this Operation Triangulation spyware attack. The exploit provides privilege escalation and remote code execution, bypassing hardware-level protections. The use of obscure hardware functionality highlights the pitfalls of security through obscurity. This campaign illustrates highly sophisticated threat actor capabilities targeting iOS devices.",Operation Triangulation; hardware features; zero-click; privilege escalation; Apple silicon,Others,https://www.bleepingcomputer.com/news/security/iphone-triangulation-attack-abused-undocumented-hardware-feature/?utm_source=chatgpt.com,Triangulation,iPhone Triangulation attack abused undocumented hardware feature,Others
No,27/2/2025,"DragonForce targeted a major real estate and construction firm in Riyadh, exfiltrating over 6 TB of sensitive data. The attack was publicly announced on February 14, 2025, with a ransom deadline set just before Ramadan on February 28.","DragonForce, Saudi Arabia, real estate, data leak, DLS",Government,https://securityaffairs.com/174717/cyber-crime/dragonforce-ransomware-group-is-targeting-saudi-arabia.html,DragonForce,DragonForce Ransomware Group is Targeting Saudi Arabia,Ransomware
No,27/3/2024,"A new phishing campaign was identified by Trustwave SpiderLabs on March 8, 2024. The phishing email masqueraded as a bank payment notification and included a misleading archive attachment. Upon extraction, this archive delivered a novel loader that installed the Agent Tesla keylogger/information stealer. The loader uses obfuscation, polymorphic behavior, and complex decryption to evade detection. It also bypasses antivirus defenses and fetches its payload using specific URLs and user agents through proxies for added stealth.",Agent Tesla; phishing; loader; obfuscation; polymorphic,Others,https://thehackernews.com/2024/03/alert-new-phishing-attack-delivers.html,AgentTesla,Alert: New Phishing Attack Delivers Keylogger Disguised as Bank Payment Notice,Phishing
